pressure,2020-09-11 00:26:43.077134,2020-09-11 00:26:43.077134,49.38,,,cd14
pm10,2020-09-11 00:27:11.949648,2020-09-11 00:27:11.949648,0.0,,,cd14
pm10,2020-09-11 00:27:41.969820,2020-09-11 00:27:41.969820,0.0,,,cd14
temperature,2020-09-11 00:27:43.232624,2020-09-11 00:27:43.232624,33.16,,,cd14
humidity,2020-09-11 00:27:43.232624,2020-09-11 00:27:43.232624,49.49,,,cd14
pressure,2020-09-11 00:27:43.232624,2020-09-11 00:27:43.232624,49.49,,,cd14
pm10,2020-09-11 00:28:11.990099,2020-09-11 00:28:11.990099,0.0,,,cd14
pm10,2020-09-11 00:28:42.037160,2020-09-11 00:28:42.037160,0.0,,,cd14
temperature,2020-09-11 00:28:43.339333,2020-09-11 00:28:43.339333,33.2,,,cd14
humidity,2020-09-11 00:28:43.339333,2020-09-11 00:28:43.339333,49.39,,,cd14
pressure,2020-09-11 00:28:43.339333,2020-09-11 00:28:43.339333,49.39,,,cd14
pm10,2020-09-11 00:29:12.070578,2020-09-11 00:29:12.070578,0.0,,,cd14
pm10,2020-09-11 00:29:42.091351,2020-09-11 00:29:42.091351,0.0,,,cd14
temperature,2020-09-11 00:29:43.473859,2020-09-11 00:29:43.473859,33.21,,,cd14
humidity,2020-09-11 00:29:43.473859,2020-09-11 00:29:43.473859,49.46,,,cd14
pressure,2020-09-11 00:29:43.473859,2020-09-11 00:29:43.473859,49.46,,,cd14
pm10,2020-09-11 00:30:12.110739,2020-09-11 00:30:12.110739,0.0,,,cd14
pm10,2020-09-11 00:30:42.130752,2020-09-11 00:30:42.130752,0.0,,,cd14
temperature,2020-09-11 00:30:43.627966,2020-09-11 00:30:43.627966,33.22,,,cd14
humidity,2020-09-11 00:30:43.627966,2020-09-11 00:30:43.627966,49.36,,,cd14
pressure,2020-09-11 00:30:43.627966,2020-09-11 00:30:43.627966,49.36,,,cd14
pm10,2020-09-11 00:31:12.152350,2020-09-11 00:31:12.152350,0.0,,,cd14
pm10,2020-09-11 00:31:42.165289,2020-09-11 00:31:42.165289,0.0,,,cd14
temperature,2020-09-11 00:31:43.744218,2020-09-11 00:31:43.744218,33.25,,,cd14
humidity,2020-09-11 00:31:43.744218,2020-09-11 00:31:43.744218,49.34,,,cd14
pressure,2020-09-11 00:31:43.744218,2020-09-11 00:31:43.744218,49.34,,,cd14
pm10,2020-09-11 00:32:12.184129,2020-09-11 00:32:12.184129,0.0,,,cd14
pm10,2020-09-11 00:32:42.203672,2020-09-11 00:32:42.203672,0.0,,,cd14
temperature,2020-09-11 00:32:43.880390,2020-09-11 00:32:43.880390,33.25,,,cd14
humidity,2020-09-11 00:32:43.880390,2020-09-11 00:32:43.880390,49.33,,,cd14
pressure,2020-09-11 00:32:43.880390,2020-09-11 00:32:43.880390,49.33,,,cd14
pm10,2020-09-11 00:33:12.235336,2020-09-11 00:33:12.235336,0.0,,,cd14
pm10,2020-09-11 00:33:42.254481,2020-09-11 00:33:42.254481,0.0,,,cd14
temperature,2020-09-11 00:33:44.014227,2020-09-11 00:33:44.014227,33.26,,,cd14
humidity,2020-09-11 00:33:44.014227,2020-09-11 00:33:44.014227,49.32,,,cd14
pressure,2020-09-11 00:33:44.014227,2020-09-11 00:33:44.014227,49.32,,,cd14
pm10,2020-09-11 00:34:12.276979,2020-09-11 00:34:12.276979,0.0,,,cd14
pm10,2020-09-11 00:34:42.297523,2020-09-11 00:34:42.297523,0.0,,,cd14
temperature,2020-09-11 00:34:44.170607,2020-09-11 00:34:44.170607,33.27,,,cd14
humidity,2020-09-11 00:34:44.170607,2020-09-11 00:34:44.170607,49.25,,,cd14
pressure,2020-09-11 00:34:44.170607,2020-09-11 00:34:44.170607,49.25,,,cd14
pm10,2020-09-11 00:35:12.317523,2020-09-11 00:35:12.317523,0.0,,,cd14
pm10,2020-09-11 00:35:42.334452,2020-09-11 00:35:42.334452,0.0,,,cd14
temperature,2020-09-11 00:35:44.336570,2020-09-11 00:35:44.336570,33.25,,,cd14
humidity,2020-09-11 00:35:44.336570,2020-09-11 00:35:44.336570,49.38,,,cd14
pressure,2020-09-11 00:35:44.336570,2020-09-11 00:35:44.336570,49.38,,,cd14
pm10,2020-09-11 00:36:12.365135,2020-09-11 00:36:12.365135,0.0,,,cd14
pm10,2020-09-11 00:36:42.375872,2020-09-11 00:36:42.375872,0.0,,,cd14
temperature,2020-09-11 00:36:44.492215,2020-09-11 00:36:44.492215,33.24,,,cd14
humidity,2020-09-11 00:36:44.492215,2020-09-11 00:36:44.492215,49.29,,,cd14
